sep=,
"Cliente","Vd","Nome","Ano","TOTAL","Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro"
="1390",="30","Arcadema Máquinas Industriais, Lda.","2022","213,95","26,4","0","0","0","0","0","0","0","0","187,55","0","0"
="1432",="08","Luis Florindo Sousa & Filhos,Lda","2022","814,74","338,8","0","272,94","0","95,6","0","51,9","0","0","55,5","0","0"
="1580",="15","Jacinto & Filhos, Lda.","2022","216,06","0","0","0","0","0","0","0","103,37","112,69","0","0","0"
="1601",="06","ABER HYDRAULICS, S.A.","2022","1826,92","0","196","114,75","114,75","469,1","0","0","0","231,33","158,66","542,33","0"
="1604",="05","Moldu´s Correia, Sousa & Ribeiro, Lda.","2022","1429,23","202,45","322,19","0","0","0","361,54","206,25","0","0","169,39","0","167,41"
="1609",="08","António Luis Sousa Pinheiro","2022","175,83","0","0","0","0","0","0","0","0","0","0","0","175,83"
="1680",="12","Fucoli Somepal Fundição Ferro, SA.","2022","558","0","0","133,5","0","0","0","283","0","0","141,5","0","0"
="1683",="11","F Reis Máquinas Ferramentas, Lda.","2022","1104,85","21,28","91,79","0","305,04","182,14","0","418,5","0","0","0","86,1","0"
="1692",="06","Adira - Metal Forming Solutions, SA","2022","3649,36","1444,88","1246,7","0","0","628,88","75","0","0","217,57","0","36,33","0"
="1769",="30","BTL Indústrias Metálicas, Lda.","2022","218,7","0","0","0","0","0","0","0","218,7","0","0","0","0"
="1776",="06","Arcen Engenharia, SA.","2022","179,41","0","0","0","0","0","0","0","0","0","37,5","0","141,91"
="1813",="08","Clavimold Fabricação Moldes P/Plásticos, Lda.","2022","110,2","0","0","0","0","0","0","110,2","0","0","0","0","0"
="2003",="08","Metalpinho Fabricação Moldes Embalagens, Lda.","2022","427,87","41,75","0","17,6","0","0","0","42,7","0","199,82","0","126","0"
="2097",="11","Grutécnica Co. Máquinas Ferramentas Ind., Lda.","2022","54,5","0","0","0","0","0","0","0","0","54,5","0","0","0"
="2176",="30","Tornearia Agostinho, Unip., Lda.","2022","288","0","288","0","0","0","0","0","0","0","0","0","0"
="2373",="06","João Strecht & Irmão, Lda.","2022","10215,72","0","0","0","165","140,73","0","0","9481,19","0","151,8","277","0"
