sep=,
"Cliente","Vd","Nome","Ano","TOTAL","Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro"
="5081",="30","V LASER ON - METALOMECANICA S A","2022","1917,33","299,1","162,67","693,83","-69,6","0","363,55","0","147,9","0","0","244,36","75,52"
="5088",="30","PARCELA METALICA UNIPESSOAL LDA","2022","791,48","0","138,44","260,04","251,4","141,6","0","0","0","0","0","0","0"
="5089",="30","MPS - METALOMECANICA E SISTEMAS DE ALUMINIO LDA","2022","21,35","0","0","0","0","0","21,35","0","0","0","0","0","0"
="5090",="11","FERNANDO ALVES MAQUINAS E FERRAMENTAS LDA","2022","215,48","40,28","0","0","0","42,8","0","0","0","0","42,8","89,6","0"
="5114",="06","CROMODURO CROMAGEM A DURO LDA","2022","161,8","0","161,8","0","0","0","0","0","0","0","0","0","0"
="5118",="08","HIDRO-TORNO LDA","2022","124,3","0","0","124,3","0","0","0","0","0","0","0","0","0"
="5119",="07","CIOR SOC SUCATAS NORTE LDA","2022","2008,4","0","0","1711,4","155","142","0","0","0","0","0","0","0"
="5121",="05","APTIVPORT SERVICES, S.A.","2022","27288,3","0","0","0","2738,3","0","0","0","0","0","0","0","24550"
="4692",="11","VITOR COSTA RODRIGUES UNIPESSOAL LDA","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
="4709",="10","Aníbal José dos Santos Monteiro Roque","2022","186,11","13,02","0","0","0","0","97,66","0","0","0","0","0","75,43"
="4723",="12","IDRAUMOLA FABRICA HIDRAULICOS MOLAS E BOBINAGENS LDA","2022","97,6","0","0","0","0","49,8","0","0","0","0","0","0","47,8"
="4750",="12","WOOD FIRST UNIPESSOAL LDA","2022","653,31","0","275,36","0","82","0","0","212,35","0","0","0","0","83,6"
="4766",="05","SERRATEC PRODUÇÃO DE COMPONENTES INDUSTRIAIS S A","2022","2841,54","0","0","0","549,9","434,86","144,95","373,43","0","568,15","770,25","0","0"
="4784",="06","APINEQ APLICAÇÕES INDUSTRIAIS E EQUIPAMENTOS LDA","2022","1340,4","0","0","0","0","0","0","288,1","170","12,8","650,9","218,6","0"
="4921",="30","JOSE NEVES COMERCIO E MANUTENÇÃO INDUSTRIAL LDA","2022","578","0","0","0","0","0","0","0","0","0","0","0","578"
="4934",="05","José Carlos Lima Coelho","2022","334,2","0","0","77,3","0","0","0","256,9","0","0","0","0","0"
="4936",="08","RAMILO GOMES LDA","2022","22,55","0","22,55","0","0","0","0","0","0","0","0","0","0"
="4942",="30","TECNAVIC - TECNOLOGIAS AVÍCOLAS LDA","2022","841,2","141,7","0","152","0","0","0","0","0","0","0","547,5","0"
="4945",="08","ESICOMATIC-Fab. Maq. P/Ceramica Unipessoal,LDA","2022","476,02","90,9","0","0","0","0","0","0","54,5","154,8","34,8","38,12","102,9"
="4967",="30","ANTONIO GUILHERME DOMINGUES - DEMOLIÇÕES UNIPESSOAL LDA","2022","1145,27","0","85,36","303,41","0","0","517,31","149,03","0","0","0","90,16","0"
="4982",="08","GSTS TOOLING, LDA","2022","791,32","0","0","0","0","0","0","626,32","0","0","0","0","165"
="3429",="06","Instituto Engenharia Sist. Comp.  tec","2022","1262,82","0","0","9,5","0","376,11","0","0","877,21","0","0","0","0"
="3495",="30","AJ Freitas & Oliveira, Lda.","2022","4028,79","487,47","0","456,4","161,6","0","170,53","663,15","0","701,52","0","-363","1751,12"
="3593",="08","Icebel Com. Maq. e Desenv. Industrial, Lda.","2022","10105,8","740,83","834,5","3155,5","1731,71","0","24,23","777,68","0","1160,75","198,3","866,35","615,95"
="3607",="08","Cadmold, SA","2022","197,25","0","0","0","197,25","0","0","0","0","0","0","0","0"
="3718",="05","José S Pinto & Cª, Lda","2022","418,26","0","155","97,18","-97,18","0","0","263,26","0","0","0","0","0"
="3734",="06","Manuel Guerra Ind. Cunhos Cortantes, Lda","2022","67,77","0","0","37,5","0","0","0","0","0","0","30,27","0","0"
="3753",="12","Fernando Conceição Rodrigues, Unip., Lda","2022","421","33,2","0","0","0","0","0","0","0","0","0","0","387,8"
="3877",="08","MDN Serviços de Manutenção Industrial, Lda","2022","488,17","0","0","310,5","0","0","0","86,65","0","91,02","0","0","0"
="3900",="05","O Feliz II - Precisão, Lda","2022","851,4","0","205,7","205,7","0","220","0","0","220","0","0","0","0"
="3943",="15","Ouplan - Fabricação e Com. de Máquinas Unip. Lda","2022","2543,09","654,47","307,04","210,88","126,54","277,2","0","359,02","233,13","111,75","0","263,06","0"
="3990",="06","Engenhotec-Eng. Prod. e Prototipagem, Lda","2022","3372,51","0","0","328,51","0","480,84","88,89","199,71","870,22","196,26","529,3","339,1","339,68"
="4013",="30","Forma 3D-Plásticos e Montagens, Lda","2022","1097,97","59","478","77,32","0","78,75","0","0","0","0","344,9","60","0"
="4035",="08","Hermaf-Const. Metalom. Máq. e Ferramentas, Lda","2022","95,06","0","0","0","0","0","95,06","0","0","0","0","0","0"
="0026",="30","Massil Metalúrgica M L Silva Fáb. Máq. Agric.,Lda.","2023","120,5","0","0","0","0","120,5","0","0","0","0","0","0","0"
="0081",="05","António Cunha Leite, Lda.","2023","7815,08","461","370","515,1","554,4","458,7","483","552,7","246,6","668,4","1373,33","1344,65","787,2"
="0082",="12","Safa Construções Electromecânicas, Lda.","2023","533,99","331,63","-77,25","0","0","0","0","0","0","0","279,61","0","0"
="0269",="08","Norelis Nova Rectificação Motores Liz, Lda.","2023","101014,88","0","372,93","179,88","404","160,56","241","0","321,06","214,9","40000","1156","57964,55"
="0277",="05","JS Freitas & Marques, Lda.","2023","1818,11","0","0","273,3","218,62","64,22","414","337,97","0","0","0","510","0"
="0284",="06","Ernesto São Simão, Lda.","2023","1761,16","496,64","63,06","0","134,1","0","123,4","284,6","100","0","191,53","367,83","0"
="0309",="30","Ramada Aços, SA.","2023","125,24","42,9","37,14","0","0","0","0","0","0","0","49,7","-4,5","0"
="0314",="30","Herculano Alfaias Agricolas, SA.","2023","911","303","96","0","0","0","176,5","96","24","0","0","159","56,5"
="0328",="08","Famolde Fabricação Comércio Moldes, SA.","2023","1212,2","0","0","1276","-63,8","0","0","0","0","0","0","0","0"
="0390",="06","Manuel António Silva & Filhos, Lda.","2023","761,36","0","713,36","48","0","0","0","0","0","0","0","0","0"
="0463",="30","Famo Indústria Mobiliário Escritório, Lda.","2023","1860,71","182,91","484,4","231,68","57,6","79,6","89,7","165","0","190,32","0","133,22","246,28"
="0464",="30","Benjamim Martins Silva, Unip., Lda.","2023","224,07","0","0","0","0","0","0","0","0","0","0","0","224,07"
="0592",="30","Metalúrgica Precisão Aveirense, Lda.","2023","102,2","0","0","0","0","0","0","45","15,8","0","41,4","0","0"
="0246",="06","Carlos Alberto Sousa Silva, Unip., Lda.","2022","2144,21","472,44","0","287,1","65,7","469,5","48,5","163,82","198,93","0","0","306,22","132"
="0267",="06","Zollern & Comandita","2022","561,6","0","0","0","319,6","0","242","0","0","0","0","0","0"
="0417",="11","Roferilidio Rolamentos Ferra. Máquinas, Lda.","2022","126","0","0","0","0","0","0","0","0","0","126","0","0"
="0427",="12","Indústria Metalomecânica Irmãos Rodrigues, Lda.","2022","1025,61","1025,61","0","0","0","0","0","0","0","0","0","0","0"
="0431",="08","Rui Manuel Lopes","2022","466,54","75","0","0","0","206,15","105,7","-86,2","0","0","0","165,89","0"
="0497",="05","J Guimarães Metalomecânica, Lda.","2022","664,22","0","92,6","0","126,3","346,32","0","99","0","0","0","0","0"
="0565",="08","Vitor Manuel Agostinho Elói","2022","510,03","0","0","0","0","510,03","0","88,83","-88,83","0","0","0","0"
="0578",="30","Mecanarte Metalúrgica Lagôa, Lda.","2022","3422,46","89,05","757,15","301,45","100","829,9","0","0","0","167,2","0","484","693,71"
="0621",="08","Adelino Crespo Bernardino Ferreira","2022","108,94","0","0","0","67,69","41,25","0","0","0","0","0","0","0"
="0691",="14","JS Ribeiro, Unip., Lda.","2022","552,49","69,42","0","0","0","28,22","0","62,29","0","392,56","0","0","0"
="0730",="06","Ricardo & Barbosa, Lda.","2022","671,05","0","336,8","0","289","0","0","27,75","0","0","0","0","17,5"
="0754",="30","SNA Europe (industries), Lda.","2022","699,2","0","344,85","0","0","0","0","0","220,5","116,25","0","17,6","0"
="0764",="30","S Roque Máquinas e Tecnologia Laser, SA","2022","7859,73","923,1","276,5","535,81","632,06","897,8","356,23","1454,01","290,74","914,63","673,6","784,45","120,8"
="1780",="12","Stopauto Acessórios Reparações, Lda.","2022","123,6","0","0","44,35","0","79,25","0","0","0","0","0","0","0"
="1825",="30","Formaplás Transformadora Plásticos, Lda.","2022","1646,62","591,45","0","0","33,9","298,8","0","161,2","0","0","388,17","28,4","144,7"
="1945",="30","Oliveira Henriques & Almeida Fab. Manut. Ind.,Lda.","2022","516,43","0","0","0","0","0","0","0","516,43","0","0","0","0"
="1978",="06","Inducorte Indústria de Cortantes, Lda.","2022","398","0","0","0","0","0","0","0","0","0","99,5","298,5","0"
="2214",="30","Zipor Equipamentos Tecnologia Industrial, SA.","2022","2375,61","204,88","0","560","524,84","17,6","232,4","388,2","0","0","264,3","80,1","103,29"
="2298",="08","HUMBERTO POÇAS S A","2022","580","580","290","0","0","0","0","0","0","-290","0","0","0"
="2497",="11","Crucelfer Comércio Ferramentas, Lda.","2022","177,59","0","0","0","0","0","0","27,18","0","0","150,41","0","0"
="2548",="06","Serralharia Mecânica Julio Castro,Lda.","2022","1493,52","0","104,33","458,75","273,01","215,3","40","0","71,45","37,9","0","227,78","65"
="2669",="06","J Pacheco Ferreira & Filho, Lda.","2022","294,8","146,9","0","0","0","0","0","0","0","0","147,9","0","0"
="2752",="13","Serralharia Fonsecas, Lda.","2022","164,78","0","0","0","0","0","0","0","0","0","164,78","0","0"
="2890",="08","Metalomecânica Curados, Lda.","2022","2254,6","1230,3","0","787,2","0","237,1","0","0","0","0","0","0","0"
="2996",="06","Sulimet, Lda.","2022","1212,91","0","0","0","0","0","0","261","23,1","0","702,55","226,26","0"
="3018",="30","Rêgo, Unip., Lda.","2022","353,7","173,7","0","0","180","0","0","0","0","0","0","0","0"
="4044",="30","Finimolde Fábrica Moldes e Máq. Industriais, Lda","2022","35,7","0","0","0","0","0","0","35,7","0","0","0","0","0"
="4096",="08","Flexidoor - Portões Seccionados e Automatismos, SA","2022","2794,5","345","276","581,4","475,8","805,2","0","311,1","0","0","0","0","0"
="4125",="16","Metalconforme - Com. e Indust. de Maq. e Ferramentas, Lda","2022","147792,25","99,65","0","0","399,8","389,2","0","0","110,6","0","0","79000","67793"
="4173",="06","IFT - Ezequiel e Filipe, Lda","2022","859,5","192,3","0","253,5","210,2","0","45,2","0","0","94,9","0","0","63,4"
="4210",="11","Plano Favorito, Lda","2022","22,91","0","0","0","0","0","0","22,91","0","0","0","0","0"
="4355",="06","Trizguel - Soluções Industriais, Unip. Lda","2022","103,9","67,5","0","36,4","0","0","0","0","0","0","0","0","0"
="4398",="30","ANCANO METALOMECANICA LDA","2022","14093,75","669,6","4118,3","400,15","301,15","465,5","0","437,95","7047,92","30,3","328","294,88","0"
="4428",="05","VALFORJADO IND. DE VALVULAS UNIP. LDA","2022","494,7","0","0","0","239","99,4","0","0","0","156,3","0","0","0"
="4438",="05","CORMAC UNIPESSOAL LDA","2022","1069,24","0","0","0","0","0","0","67,5","232,9","102,9","646,74","0","19,2"
="4499",="30","MANLUB MANUTENÇÃO E LUBRIFICAÇÃO INDUSTRIAL LDA","2022","4900","0","0","0","0","4900","0","0","0","0","0","0","0"
="4533",="30","MANUEL FERNANDES FIGUEIREDO UNIPESSOAL LDA","2022","1974,38","0","174,06","-290,16","0","0","268,95","0","0","134,23","502,2","0","1185,1"
="4578",="30","RESULTAMPER METALOMECANICA LDA","2022","303,1","0","128,1","0","175","0","0","0","0","0","0","0","0"
="4612",="30","RUPREC  INTERNACIONAL  S.A","2022","112,9","0","0","0","53,5","0","0","0","0","0","0","59,4","0"
="4985",="06","Fernando Duarte Metalomecânica Unip. Lda","2022","1827,63","220,6","0","175","44,5","0","850,63","33,8","75,5","427,6","0","0","0"
="4996",="05","MARCOS DA SILVA MARTINS  C LDA","2022","301,76","0","0","0","119,2","0","0","182,56","0","0","0","0","0"
="5002",="08","Recticentro Rectificadora Motores Automóveis, Lda.","2022","-5948,9","0","0","139,65","0","0","173,4","-7065,95","0","649","77,6","77,4","0"
="5008",="08","PAULO SERGIO MENDES DA COSTA","2022","1338,6","0","0","237,9","0","0","0","0","0","0","0","0","1100,7"
="5037",="10","MITSUBISHI FUSO TRUCK EUROPE - SOCIEDADE EUROPEIA DE AUTOMOVEIS S A","2022","1125","0","0","0","0","0","851","0","0","0","0","0","274"
="5054",="05","SOSIFLEX PRODUTOS METALICOS LDA","2022","1921,34","0","0","0","0","0","0","0","0","1706,14","0","215,2","0"
="5080",="08","Portrisa - Indústria de Portas, SA","2022","405,63","0","0","0","304,83","0","0","0","0","100,8","0","0","0"
="5100",="06","LISETE & FERNANDO LDA","2022","116,48","0","116,48","0","0","0","0","0","0","0","0","0","0"
="5103",="05","PROPROCESS, UNIPESSOAL LDA","2022","577,55","155","260,5","106,3","0","55,75","0","0","0","0","0","0","0"
="5151",="30","UNIWELDER UNIPESSOAL LDA","2022","2217,47","0","0","0","0","0","0","0","0","0","2189,57","27,9","0"
="5156",="12","CLOSEDLOOP - BUILDING MECHATRONICS CONTROL LDA","2022","1343,7","0","0","0","0","0","0","0","0","0","1343,7","0","0"
="0012",="30","AF Azevedos, Ferramentas, Lda.","2023","3115,71","422,44","214,96","38","209","0","1153,68","-44,47","285,9","0","422,8","413,4","0"
="0046",="06","Alberto Azevedo Mecânica Precisão, Lda.","2023","514,35","0","42,65","0","0","106,8","139","0","20","25,9","180","0","0"
="5122",="12","AVEIDIESEL UNIPESSOAL LDA","2022","410","0","0","0","349","0","0","203","0","0","0","-142","0"
="5126",="11","AMC PINA FERRAMENTAS UNIPESSOAL LDA","2022","1199,58","0","0","0","0","38,63","65,6","158,13","293,14","84,9","144,18","335,38","79,62"
="5135",="12","JHOVITER - CONSTRUÇÃO CIVIL E OBRAS PÚBLICAS LDA","2022","295,69","0","0","0","0","0","0","0","295,69","0","0","0","0"
="0042",="06","Metromolde Tecnologia Moldes, Lda.","2023","1267,17","0","70,11","937,06","0","0","260","0","0","0","0","0","0"
="0153",="05","Famil Fábrica Moldes P/Injecção, SA","2023","30787,12","3194,5","3201,06","1046,16","2604,01","1559,45","2055,57","3732,39","4154,76","2726,28","2041,78","2863,26","1607,9"
="0259",="11","Elax Comércio Auto Equipamentos Industriais, Lda.","2023","921,32","56,98","0","63,54","68,64","0","52,48","0","0","272,88","373,04","0","33,76"
="0276",="06","Artame Indústria Metalúrgica, SA.","2023","2998,71","0","347,1","0","347,1","0","1209,74","422,63","0","162,38","349,86","159,9","0"
="0313",="05","Ormia Construções Mecânicas,Lda.","2023","2695,71","0","12","0","2143,4","0","0","61,4","122,1","143,01","154,9","0","58,9"
="0348",="06","Ferreira, Barros & Filhos, Lda.","2023","995,73","0","0","0","0","175","0","198,44","0","0","0","454,59","167,7"
="0387",="06","Abel Nogueira, Lda.","2023","1088,18","166,9","0","220,4","70,4","76,7","0","36,2","0","224,7","38,65","254,23","0"
="0415",="08","ICEL Indústria Cutelarias Estremadura, SA.","2023","456,1","0","0","215,2","0","240,9","0","0","0","0","0","0","0"
="0441",="06","Facort Fábrica Cortantes Moldes, Lda.","2023","2958,31","0","269","51,5","351,4","467,88","63,05","1001,85","336,3","54,53","0","362,8","0"
="0451",="08","PCFM Projecto, Comércio Fabrico Moldes,Lda.","2023","27","0","0","0","0","27","0","0","0","0","0","0","0"
="0612",="30","Metelcosta Metalúrgica, Lda.","2023","852,05","0","235,8","309,15","0","0","0","0","0","152,2","0","0","154,9"
="0622",="12","Moldicorte Fábrica Moldes Cortantes, Lda.","2023","500,77","0","172,2","0","0","0","189,07","0","0","0","0","139,5","0"
="0684",="05","Grupo Antólin Lusitânia Componentes Automóvel, SA.","2023","520,8","0","0","0","0","0","520,8","0","0","0","0","0","0"
="0728",="30","Ribeiro & Rocha, Lda.","2023","527,8","113,8","80","0","5,2","144,5","0","0","0","0","0","0","184,3"
="0730",="06","Ricardo & Barbosa, Lda.","2023","2335,51","45,6","2244,31","0","0","0","0","0","0","0","0","45,6","0"
="0978",="11","Diapor Diamantes de Portugal, SA.","2023","116,1","0","0","0","116,1","0","0","0","0","0","0","0","0"
="1077",="08","Usimeca Metalomecânica, Lda.","2023","74,1","0","0","74,1","0","0","0","0","0","0","0","0","0"
="1078",="06","INEGI-INST. DE CIÊNCIA E INOVAÇÃO EM ENG. MEC. E ENG. INDUST.","2023","882,9","0","83,1","0","189","129,5","280","109,8","0","0","0","0","91,5"
="1157",="12","RODI INDUSTRIES, S.A.","2023","0","0","0","0","0","0","0","0","0","0","0","0","0"
="1236",="06","VOX Organização Industrial Gráfica, SA.","2023","221,4","221,4","0","0","0","0","0","0","0","0","0","0","0"
="1272",="12","Tornemor Tornearia Mecânica, Lda.","2023","62,6","0","45","0","0","0","0","0","17,6","0","0","0","0"
="1298",="30","VMSS Torneiro Mecânico, Lda.","2023","1995,2","111,84","0","0","213,9","295,7","0","0","0","317,7","168,3","162,76","725"
="1322",="06","Centro Formação Profissional Ind. Metalomecânica","2023","19004,04","0","255,3","1923,16","1306,19","235,33","85,18","0","175","691,1","0","0","14332,78"
="4650",="12","JESUS DOMINGUES UNIPESSOAL LDA (Dominox)","2022","844,63","0","303,59","0","-58,65","0","0","0","511,96","0","87,73","0","0"
="4701",="30","DIFMOLD - MOLDMAKING SOLUTIONS UNIPESSOAL LDA","2022","36943,45","0","0","0","802,8","0","342,28","35798,37","0","0","0","0","0"
="4820",="06","SERMEC - LASER & WATERJET LDA","2022","1829,42","355,33","19,58","27,96","296,49","-35,96","87,28","213,46","36,34","391,38","135,88","301,68","0"
="4824",="06","TECNORENOVADORA METALOMECANICA LDA","2022","297,2","0","0","0","0","0","0","0","0","0","592,2","-295","0"
="4829",="30","LUÍS ALBERTO MARTINS DE FIGUEIREDO, S.A.","2022","161,1","0","0","0","0","0","0","0","0","58,7","102,4","0","0"
="4830",="05","VERTO, S.A.","2022","8,5","0","0","8,5","0","0","0","0","0","0","0","0","0"
="4834",="30","FINIECO - INDÚSTRIA E COMÉRCIO DE EMBALAGENS, S.A.","2022","1146,84","596,79","122,95","0","330,23","96,87","0","0","0","0","0","0","0"
="4875",="12","TMC - HIDRAULICA LDA","2022","697,85","0","0","0","133","0","83","0","0","0","0","481,85","0"
="4880",="08","Alitorno, Unipessoal Lda","2022","177,76","30,4","-24,9","0","90,72","0","0","0","0","81,54","0","0","0"
="4909",="08","TECNO-PAN LDA","2022","3547,95","0","1632","0","0","0","0","0","0","0","0","1915,95","0"
="4952",="10","MAQAZEVEDO - UNIPESSOAL LDA","2022","1441,65","56,4","-99,54","0","0","0","395,45","84,9","291,1","252,95","80,2","0","380,19"
="4955",="06","Daniel Amaro Sousa Nunes","2022","177,47","0","0","0","0","0","0","0","177,47","0","0","0","0"
="4958",="12","TENDERNESSCAPACITY - LDA","2022","1100,48","0","0","1100,48","0","0","0","0","0","0","0","0","0"
="3135",="18","2RID, Lda","2022","49,23","0","0","49,23","0","0","0","0","0","0","0","0","0"
="3142",="08","Maquitorno Componentes Metálicos, Lda.","2022","6995,26","26,25","733,6","665,5","0","0","212,4","840,7","404,3","888,18","197,22","531,5","2495,61"
="3197",="30","José Joaquim Moreira Jorge Coelho","2022","99,5","0","0","0","0","99,5","0","0","0","0","0","0","0"
="3280",="30","Tornovar, Unipessoal Lda","2022","3202,34","104","78,86","455,11","0","72,55","52,8","0","0","447,12","1071,6","865,8","54,5"
="3281",="15","José Pedro Campos","2022","83,41","0","0","43,51","0","29,45","10,45","0","0","0","0","0","0"
="3292",="05","Álvaro Faria, Lda.","2022","171,6","0","83,7","3,75","0","0","40,2","0","43,95","0","0","0","0"
="3400",="12","Fapricela Indústria Trefilaria, SA","2022","234,85","0","0","41,55","0","0","-3,75","0","82","0","0","115,05","0"
="3555",="06","Sermec II Ind., Comércio Serviços, SA","2022","13069,7","0","1156,56","2395,02","1075,13","405,12","322,19","1022,87","634,76","3859,68","1906,29","292,08","0"
="3625",="30","Simplac Tecnologia Mecânica, Lda.","2022","689,19","0","0","0","0","0","0","0","0","0","0","689,19","0"
="3731",="30","CRF Fab. Meios Controlo Ferr. Rect. Ind, Lda","2022","533,05","0","0","81,15","45","8,5","0","0","0","246,6","151,8","0","0"
="3898",="06","Fundinio, SA","2022","1827,19","194,2","290,43","271,5","0","45,5","116,98","345,23","125,2","205,55","28,2","204,4","0"
="3901",="06","Companhia Industrial Fundição, SA","2022","646,84","0","0","0","220,63","0","135,5","0","0","131,37","0","159,34","0"
="3946",="11","Trimáquinas Acessórios Industriais, lda","2022","356","0","0","0","0","0","0","0","0","0","356","0","0"
="0909",="06","Portometal Indústria Portuense C. R. Peças, Lda.","2022","0","0","0","92,93","-92,93","0","0","0","0","0","0","0","0"
="0968",="11","Gansil Acessórios Industriais, Lda.","2022","2134,8","94,24","0","267,92","132,8","79,75","186,24","160,16","153,68","157,68","289,76","200","412,57"
="1023",="11","Fernando Leite, Lda.","2022","347,04","0","0","0","0","0","0","0","0","0","347,04","0","0"
="1078",="06","INEGI-INST. DE CIÊNCIA E INOVAÇÃO EM ENG. MEC. E ENG. INDUST.","2022","908,6","72,47","525,6","26,8","0","166,2","10,45","0","0","72,08","0","0","35"
="1089",="05","Costa & Rego, Lda.","2022","2775,31","330,8","35,2","164,7","198,55","385","131,25","470,1","267,2","333,16","128,5","73,25","257,6"
="1098",="15","Eduardo Faria & Filho, Lda.","2022","988,93","210","0","248,93","0","0","130","0","0","148","0","0","252"
="1107",="06","Sersan Serralharia Santos, Lda.","2022","4390,21","113,35","631,18","1388,12","392,46","386,2","287,9","0","0","0","337,4","519,2","334,4"
="1236",="06","VOX Organização Industrial Gráfica, SA.","2022","678,35","140","0","48,7","12,75","0","218,6","0","0","0","258,3","0","0"
="1271",="05","Agridraulica Máquinas Agricolas, Lda.","2022","114,6","0","0","114,6","0","0","0","0","0","0","0","0","0"
="1291",="06","Mecânica Exacta, SA.","2022","9,2","9,2","0","0","0","0","0","0","0","0","0","0","0"
="1323",="06","Divmac Projectos Autom. Perif. Ind., SA.","2022","367,35","0","0","0","0","0","0","0","0","0","0","358,5","8,85"
="1384",="06","Metalmozel Indústria Metalúrgica, Lda.","2022","1433,47","0","412,13","0","0","74","514,54","0","0","147,9","0","284,9","0"
="1410",="30","Funfrap Fundição Portuguesa, SA","2022","12937,68","874,8","1989,18","1439,1","1439,1","0","1918,8","0","2878,2","0","0","0","2398,5"
="3951",="30","Francisco Falcão Sist. Controlo p/Máq. Ind. Lda","2022","1089,1","0","0","0","0","485,8","306,3","-87","0","0","384","0","0"
="3962",="30","AJP Motos, SA","2022","404,65","70,2","141,6","69,55","0","80,35","42,95","0","0","0","0","0","0"
="3975",="30","Idade do Ferro, Unipessoal, Lda","2022","237","0","0","237","0","0","0","0","0","0","0","0","0"
="3979",="15","França Araújo Gás, Lda","2022","161,42","0","96,06","22,42","0","0","0","42,94","0","0","0","0","0"
="4185",="08","JPD - João Paulo Delgado, Unipessoal","2022","252","0","0","82,25","169,75","0","0","0","0","0","0","0","0"
="4274",="08","Tornearia David Gaspar Unipessoal, Lda","2022","379","223,5","0","0","63,2","0","0","0","136,3","-44","0","0","0"
="4288",="05","Tiegelberica - Equipamentos Industriais, Lda","2022","243,96","0","0","0","0","0","0","0","0","243,96","0","0","0"
="4308",="06","Ecco Let Portugal - Fábrica de Sapatos, Lda","2022","0","0","0","0","0","0","235,5","-235,5","0","0","0","0","0"
="4313",="06","STA - Soc. Transformadora de Alumínios, S.A.","2022","3008,24","310,54","0","0","0","86,4","0","0","0","0","135","2476,3","0"
="4358",="08","Sitecna - Soluções Técnicas e de Embalagem, SA","2022","495,34","0","0","130,5","0","0","0","0","0","0","108","0","256,84"
="4362",="06","Avelino Mota, Unipessoal, Lda","2022","22,5","22,5","0","0","0","0","0","0","0","0","0","0","0"
="4366",="06","Indurrolos - Fábrica de rolos gráficos, SA","2022","338,6","0","338,6","0","0","0","0","0","0","0","0","0","0"
="4463",="06","STEELVER LDA","2022","1523,55","0","0","0","235,73","156,55","242,87","444,98","0","355,67","0","87,75","0"
="0097",="05","António Marques Rodrigues, SA","2023","12428,85","1040,89","909","1837,17","579,72","1658,8","524,62","540,83","0","642,4","2587,05","1132,35","976,02"
="0120",="06","Fausto Oliveira Costa","2023","170,43","0","0","115,23","0","0","55,2","0","0","0","0","0","0"
="0128",="06","AAPICO MAIA S.A.","2023","35888,44","0","318,5","1624,5","4940,1","8433,36","2591,4","3159,6","3423,24","3249","0","7098,74","1050"
="0362",="06","Sanefil Indústria Electro-Erosão, Lda.","2023","32,9","0","0","0","0","32,9","0","0","0","0","0","0","0"
="0382",="30","Kirchhoff Automotive Portugal S.A.","2023","1049,76","0","0","156,6","0","579,96","0","0","0","156,6","0","52,2","104,4"
="0391",="08","Hidrocentro Óleo Hidraulica Met. Centro, Lda.","2023","2548,99","67,8","197,5","0","0","1038,83","0","396,8","120,5","248","0","0","479,56"
="0531",="11","MF Marques Santos Comércio Máq. Ferramentas, SA.","2023","138,4","0","0","0","0","18,72","79,68","0","0","0","40","0","0"
="0539",="11","Mafepre Material Ferramentas Precisão, Lda.","2023","238,68","25,11","43,29","68,4","0","0","0","0","0","0","28,35","73,53","0"
="0556",="30","Cruz Ferramentas Moldes, Lda.","2023","453,6","408","45,6","0","0","0","0","0","0","0","0","0","0"
="0586",="12","Metalúrgica José A. Simões & Simões, Lda.","2023","1686,57","0","0","0","0","0","541,18","454,8","-163,7","123,9","0","730,39","0"
="0668",="06","ATREL REPARADORA AGRO TECNICA LDA","2023","788,2","0","0","0","0","0","604,6","61,6","0","0","0","0","122"
="0682",="06","Oniram Soc. Construção Máquinas Industriais, Lda.","2023","3270,58","0","375","185,5","146,12","34,8","257,5","0","225,8","0","390,8","433,43","1221,63"
="0715",="06","IMFU Ind. Moldes Ferramentas Utensílios, SA","2023","649,3","0","0","0","133","516,3","0","0","0","0","0","0","0"
="1450",="06","Carlos Alberto Faria Andrade & Filhos, Lda.","2022","1545,38","42,9","96,98","116,85","0","68,8","394,55","0","0","360,87","297,05","93,38","74"
="1459",="30","TORNITROFA, LDA","2022","120,3","120,3","0","0","0","0","0","0","0","0","0","0","0"
="1634",="11","Roliol Soc. Com. Equipamentos, Lda.","2022","110,4","0","0","0","0","110,4","0","0","0","0","0","0","0"
="1673",="06","José Celestino Oliveira Marques","2022","772,19","457,07","0","0","0","0","0","0","0","315,12","0","0","0"
="1706",="08","Lufimoldes, Lda.","2022","1375,01","0","137,2","207,53","0","211,5","0","111,6","114,9","88,13","420,3","83,85","0"
="1708",="08","Motol Rectificações Motores, Lda.","2022","609,56","122,6","0","0","192,8","45,35","0","0","77,42","156,83","0","0","14,56"
="1713",="08","Movaço Movimentação Industrial, Lda.","2022","320,45","0","0","0","135,45","26","0","0","0","0","0","159","0"
="1716",="06","Gonçalves & Teixeira, Lda.","2022","297","0","297","0","0","0","0","0","0","0","0","0","0"
="1753",="30","Steelplus Moldes Técnicos, Lda.","2022","4495,75","0","599,66","13,05","15,3","643,87","2784,34","113,34","31,2","227,49","0","51,3","16,2"
="1758",="06","Tavares & Irmão, Lda.","2022","363,46","0","0","0","0","78,05","0","0","46,4","110","0","129,01","0"
="1800",="11","Ferreira & Almeida, Lda.","2022","260,88","0","88,71","0","0","45,51","0","0","0","0","41,04","0","85,62"
="1806",="30","José Freire Melo, Lda.","2022","3048,02","0","0","287,17","1894,41","0","644,45","-155,37","309,86","0","0","67,5","0"
